business_id,AcceptsInsurance,Alcohol,Ambience,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,ByAppointmentOnly,Caters,DogsAllowed,GoodForKids,GoodForMeal,HasTV,Music,NoiseLevel,OutdoorSeating,RestaurantsAttire,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTakeOut,Smoking,WheelchairAccessible,WiFi,garage,lot,street,valet,validated
104170,True,,,,,,False,,,False,,,,,,,,,,,,,False,,,,,,
49708,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
173815,,,,,,True,False,,,True,,,,,,,,,,,,,,,False,False,False,False,False
183154,,,,True,,,False,,,False,,,,,,,,,,,,,,,,,,,
138163,,,,,,,,,,False,,,,,,,,,,,,,,,False,False,False,False,False
17594,,,,True,,True,True,,,False,,,,,,,,,,,,,,,False,False,False,False,False
106407,,,,False,,True,False,,False,,,,,,,,,,,,,,True,,False,True,False,False,False
170000,,,,True,,True,False,,,True,,,,,,,,,,,,,,,False,False,False,False,False
69171,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,
22591,,,,True,,True,False,,False,True,,,,,,,,,,,,,,,False,False,False,False,False
112422,,,,,,,False,,,True,,,,,,,,,,,,,,,False,False,False,False,False
118824,,,,True,,True,False,,False,True,,,,,,,,,,,,,True,,False,True,False,False,False
133243,,,,True,,,False,,,True,,,,,,,,,,,,,True,,False,True,False,False,False
170891,,,,True,,True,,,,True,,,,,,,,,,,,,,,False,True,False,False,False
2701,,,,True,,True,False,,,False,,,,,,,,,,,,,,,False,False,False,False,False
160597,,,,True,,True,True,,,True,,,,,,,,,,,,,,,False,False,False,False,False
86652,,,,,,,,,,True,,,,,,,,,,,,'no',,'free',False,True,False,False,False
123027,,,,True,,True,False,,,False,,,,,,,,,3,,,,,,True,False,False,False,False
100610,,,,,,True,False,,,True,,,,,,,,,,,,,,,False,False,False,False,False
117728,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,
171580,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
159183,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
183266,,,,True,,,True,,,False,,,,,,,,,,,,,,,False,False,False,False,False
99656,,,,True,,True,False,,,True,,,,,,,,,,,,,,,False,False,False,False,False
182036,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
142505,,,,True,,,,,,True,,,,,,,,,,,,,,,False,False,False,False,False
49256,,,,True,,,False,,,False,,,,,,,,,,,,,,,False,True,False,False,False
13626,,,,False,,True,False,,,True,,,,,,,,,,,,,True,,False,False,False,False,False
27502,,,,True,,True,False,,,False,,,,,,,,,,,,,,,False,False,False,False,False
147475,,,,False,,True,False,,,True,,,,,,,,,,,,,,,False,False,False,False,False
162906,,,,True,,,False,,False,False,,,,,,,,,,,,,True,,True,False,True,False,False
142273,,,,,,True,,,,,,,,,,,,,,,,,,,False,False,False,False,False
145621,,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,
117945,,,,True,,True,False,,True,False,,,,,,,,,,,,,True,,,,,,
104441,,,,,,True,False,,,True,,,,,,,,,,,,,,,,,,,
180976,,,,,,,False,,,False,,,,,,,,,,,,,,,False,False,False,False,False
61726,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
104505,,,,True,,,False,,,True,,,,,,,,,,,,,,,,,,,
57504,,,,True,,,False,,,False,,,,,,,,,,,,,,,False,False,False,False,False
138905,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
44046,,,,,,True,,,,,,,,,,,,,3,,,,,,False,False,False,False,False
10954,,,,True,,,False,,,False,,,,,,,,,,,,,,,False,False,False,False,False
115186,,,,True,,True,False,,,True,,,,,,,,,1,,,,,,False,True,False,False,False
94063,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
131720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61608,,,,,,,False,,,,,,,,,,,,,,,,,,False,False,False,False,False
7368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155592,,,,True,,True,False,,,True,,,,,,,,,,,,,,,False,False,False,False,False
185875,,,,True,,True,False,,,,,,,,,,,,,,,,True,,,,,,
147251,,,,True,,,True,,,False,,,,,,,,,,,,,False,,False,False,True,False,False
51333,,,,,,True,True,,,False,,,,,,,,,,,,,,,,,,,
42514,,,,True,,True,False,,,False,,,,,,,,,,,,,True,,False,False,False,False,False
184001,,,,True,,True,True,,,False,,,,,,,,,,,,,,,True,True,False,False,False
87651,,,,True,,True,True,,,True,,,,,,,,,,,,,True,,False,False,False,False,False
117610,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
137831,,,,True,,True,False,,,True,,,,,,,,,,,,,True,,False,True,False,False,False
90384,,,,True,,True,False,,,True,,,,,,,,,,,,,,,False,False,False,False,False
190545,False,,,False,,True,False,,False,False,,,,,,,,,,,,,True,,False,False,False,False,False
68707,,,,True,,True,False,,,True,,,,,,,,,,,,,,,,,,,
141450,,,,True,,True,False,,,,,,,,,,,,,,,,,,False,False,False,False,False
173580,,,,,,True,True,,,True,,,,,,,,,,,,,,,False,False,False,False,False
142490,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
174214,,,,True,,True,False,,,False,,,,,,,,,,,,,True,,False,False,False,False,False
129789,,,,True,,True,False,,,True,,,,,,,,,,,,'no',,,False,False,False,False,False
191082,,,,True,,True,False,,,False,,,,,,,,,,,,,True,,False,True,False,False,False
36976,,,,True,,True,False,,,False,,,,,,,,,,,,,,,False,False,False,False,False
74773,,,,,,True,False,,,True,,,,,,,,,,,,,,u'free',False,True,False,False,False
92058,,,,True,,,False,,,False,,,,,,,,,,,,,,,False,False,False,False,False
13872,,,,True,,True,False,,,True,,,,,,,,,,,,,,,False,True,False,False,False
121593,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
176012,False,,,True,,True,True,,True,True,,,,,,,,,,,,,True,,False,True,False,False,False
54960,,,,True,,True,,,,,,,,,,,,,,,,,True,,False,True,False,False,False
96689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65419,,,,True,,True,False,,,True,,,,,,,,,,,,,,,False,False,False,False,False
120684,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
10884,,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,
74816,,,,True,,,,,,True,,,,,,,,,,,,,,,False,False,False,False,False
135371,,,,True,,True,True,,,True,,,,,,,,,,,,,,,False,True,False,False,False
25286,False,,,True,,True,True,,,True,,,,,,,,,,,,,True,,False,True,False,False,False
156475,,,,True,,,False,,,False,,,,,,,,,,,,,,,False,False,False,False,False
103444,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
45417,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
121861,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
